,IT_years,BN,inf,inf0,inf1,inf2,inf_spread0,inf_spread1,inf_spread2,IT_years_low,IT_years_medium,IT_years_high,BN_low,BN_medium,BN_high,inf_low,inf_medium,inf_high,survey_low,survey_high,survey_medium,inf0_low,inf0_medium,inf0_high,inf1_low,inf1_medium,inf1_high,inf2_low,inf2_medium,inf2_high
325,12.0,20.0,1.9,2.87,2.13,2.09,1.17,0.47,0.54,0.0,1.0,0.0,0.0,0.5,0.5,0.3000000000000002,0.6999999999999998,0.0,0.036699999999999997,0.5207,0.255,0.8290598290598292,0.17094017094017072,0.0,0.48936170212765956,0.5106382978723405,0.0,0.35185185185185175,0.6481481481481483,0.0
326,12.0,0.0,1.8,2.35,1.83,1.95,0.7,0.48,0.54,0.0,1.0,0.0,0.9999999999618012,3.819876288299699e-11,0.0,0.4,0.6,0.0,0.05335,0.49219999999999997,0.29,0.7857142857142858,0.21428571428571416,0.0,0.06250000000000006,0.9375,0.0,0.27777777777777757,0.7222222222222224,0.0
327,12.0,0.0,1.3,2.03,1.11,1.37,0.38,0.49,0.54,0.0,1.0,0.0,0.9999999999618012,3.819876288299699e-11,0.0,0.8999999999999999,0.10000000000000006,0.0,0.03345,0.5135000000000001,0.2901,1.0,0.0,0.0,0.0,0.6122448979591838,0.3877551020408162,0.12962962962962973,0.8703703703703702,0.0
328,12.0,10.0,1.4,1.78,1.69,1.63,0.27,0.5,0.54,0.0,1.0,0.0,4.2973606186676346e-11,0.9999999999355396,2.1486803095723348e-11,0.8,0.1999999999999999,0.0,0.04855,0.48835,0.30079999999999996,1.0,0.0,0.0,0.5800000000000001,0.41999999999999993,0.0,0.4259259259259259,0.5740740740740742,0.0
329,12.0,20.0,0.9,1.65,0.76,0.96,0.22,0.54,0.54,0.0,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.06810000000000001,0.467,0.3175,1.0,0.0,0.0,0.0,0.7407407407407408,0.2592592592592593,0.111111111111111,0.888888888888889,0.0
330,12.0,20.0,0.9,1.52,1.16,1.11,0.35,0.47,0.54,0.0,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0669,0.41224999999999995,0.365,1.0,0.0,0.0,0.5531914893617019,0.446808510638298,0.0,0.38888888888888895,0.6111111111111109,0.0
331,12.0,20.0,0.4,1.37,0.26,0.46,0.39,0.51,0.54,0.0,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.06295,0.41409999999999997,0.3761,1.0,0.0,0.0,0.0,0.7254901960784313,0.27450980392156865,0.1111111111111111,0.888888888888889,0.0
332,13.0,10.0,0.0,1.12,0.01,0.11,0.45,0.41,0.54,0.0,0.75,0.25,4.2973606186676346e-11,0.9999999999355396,2.1486803095723348e-11,1.0,0.0,0.0,0.066,0.40985,0.38539999999999996,1.0,0.0,0.0,0.02439024390243903,0.975609756097561,0.0,0.2037037037037037,0.7962962962962964,0.0
333,13.0,20.0,0.1,0.82,0.21,0.3,0.49,0.35,0.54,0.0,0.75,0.25,0.0,0.5,0.5,1.0,0.0,0.0,0.07095000000000001,0.41200000000000003,0.3721,1.0,0.0,0.0,0.3142857142857142,0.6857142857142857,0.0,0.3703703703703703,0.6296296296296297,0.0
334,13.0,20.0,0.1,0.62,0.17,0.25,0.49,0.31,0.54,0.0,0.75,0.25,0.0,0.5,0.5,1.0,0.0,0.0,0.06390000000000001,0.4239,0.39159999999999995,1.0,0.0,0.0,0.22580645161290325,0.7741935483870968,0.0,0.27777777777777773,0.7222222222222222,0.0
335,13.0,10.0,-0.1,0.4,-0.05,0.01,0.37,0.28,0.53,0.0,0.75,0.25,4.2973606186676346e-11,0.9999999999355396,2.1486803095723348e-11,1.0,0.0,0.0,0.079,0.3986,0.37920000000000004,1.0,0.0,0.0,0.17857142857142855,0.8214285714285714,0.0,0.20754716981132074,0.7924528301886792,0.0
336,13.0,20.0,-0.1,0.23,-0.04,0.06,0.33,0.28,0.53,0.0,0.75,0.25,0.0,0.5,0.5,1.0,0.0,0.0,0.08195000000000001,0.337,0.4401,0.9999999999988788,1.1212411466516422e-12,0.0,0.21428571428571427,0.7857142857142857,0.0,0.3018867924528302,0.6981132075471698,0.0
337,13.0,20.0,-0.3,0.07,-0.26,-0.21,0.17,0.29,0.53,0.0,0.75,0.25,0.0,0.5,0.5,1.0,0.0,0.0,0.12040000000000001,0.27335,0.4201,1.0,0.0,0.0,0.13793103448275854,0.8620689655172415,0.0,0.16981132075471694,0.830188679245283,0.0
338,13.0,10.0,0.1,-0.05,0.16,0.34,0.14,0.31,0.53,0.0,0.75,0.25,4.2973606186676346e-11,0.9999999999355396,2.1486803095723348e-11,1.0,0.0,0.0,0.12390000000000001,0.23804999999999998,0.4473,0.0,0.0,1.0,0.1935483870967742,0.8064516129032258,0.0,0.45283018867924535,0.5471698113207547,0.0
339,13.0,10.0,0.2,-0.03,0.25,0.33,0.15,0.27,0.53,0.0,0.75,0.25,4.2973606186676346e-11,0.9999999999355396,2.1486803095723348e-11,1.0,0.0,0.0,0.12425000000000001,0.27735,0.426,0.0,0.0,1.0,0.18518518518518515,0.8148148148148149,0.0,0.24528301886792453,0.7547169811320755,0.0
340,13.0,10.0,-0.5,-0.02,-0.47,-0.53,0.17,0.34,0.53,0.0,0.75,0.25,4.2973606186676346e-11,0.9999999999355396,2.1486803095723348e-11,1.0,0.0,0.0,0.1374,0.3032,0.38270000000000004,1.0,0.0,0.0,0.08823529411764712,0.9117647058823528,0.0,0.0,0.9433962264150942,0.05660377358490571
341,13.0,-10.0,-0.4,-0.12,0.0,-0.22,0.23,0.25,0.53,0.0,0.75,0.25,1.0,0.0,0.0,1.0,0.0,0.0,0.13135,0.31965,0.38299999999999995,1.0,0.0,0.0,1.0,0.0,0.0,0.339622641509434,0.6603773584905659,0.0
342,13.0,10.0,-0.7,-0.17,-0.54,-0.65,0.26,0.32,0.53,0.0,0.75,0.25,4.2973606186676346e-11,0.9999999999355396,2.1486803095723348e-11,1.0,0.0,0.0,0.12135,0.2884,0.41700000000000004,1.0,0.0,0.0,0.49999999999999967,0.5000000000000003,0.0,0.09433962264150929,0.9056603773584907,0.0
343,13.0,10.0,-0.9,-0.27,-0.72,-0.81,0.32,0.28,0.53,0.0,0.75,0.25,4.2973606186676346e-11,0.9999999999355396,2.1486803095723348e-11,1.0,0.0,0.0,0.10719999999999999,0.2907,0.41159999999999997,1.0,0.0,0.0,0.6428571428571429,0.35714285714285704,0.0,0.16981132075471692,0.8301886792452832,0.0
344,14.0,10.0,-1.4,-0.37,-1.27,-1.39,0.4,0.3,0.53,0.0,0.5,0.5,4.2973606186676346e-11,0.9999999999355396,2.1486803095723348e-11,1.0,0.0,0.0,0.1381,0.26189999999999997,0.395,1.0,0.0,0.0,0.4333333333333329,0.5666666666666671,0.0,0.018867924528301903,0.9811320754716981,0.0
345,14.0,0.0,-1.0,-0.62,-0.89,-0.78,0.49,0.31,0.53,0.0,0.5,0.5,0.9999999999618012,3.819876288299699e-11,0.0,1.0,0.0,0.0,0.13515,0.2626,0.4105,0.7755102040816328,0.22448979591836712,0.0,0.3548387096774194,0.6451612903225806,0.0,0.4150943396226414,0.5849056603773586,0.0
346,14.0,20.0,-0.6,-0.82,-0.5,-0.43,0.33,0.32,0.53,0.0,0.5,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.16255,0.2275,0.3901,0.0,0.3333333333333334,0.6666666666666665,0.3124999999999999,0.6875000000000002,0.0,0.320754716981132,0.6792452830188679,0.0
347,14.0,20.0,-0.3,-0.83,-0.31,-0.14,0.32,0.31,0.52,0.0,0.5,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.1503,0.2293,0.4089,0.0,0.0,1.0,0.0,0.967741935483871,0.032258064516129066,0.3076923076923076,0.6923076923076924,0.0
348,14.0,20.0,0.5,-0.82,0.36,0.76,0.34,0.38,0.52,0.0,0.5,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.14404999999999998,0.2177,0.4531,0.0,0.0,1.0,0.0,0.631578947368421,0.368421052631579,0.5,0.5,0.0
349,14.0,30.0,0.6,-0.62,0.31,0.68,0.6,0.37,0.52,0.0,0.5,0.5,0.0,2.6261645717220658e-11,0.9999999999737383,1.0,0.0,0.0,0.13895000000000002,0.2636,0.4045,0.0,0.0,1.0,0.0,0.21621621621621614,0.7837837837837839,0.15384615384615397,0.846153846153846,0.0
350,14.0,0.0,0.4,-0.37,0.22,0.45,0.73,0.37,0.52,0.0,0.5,0.5,0.9999999999618012,3.819876288299699e-11,0.0,1.0,0.0,0.0,0.14245000000000002,0.24919999999999998,0.4218,0.0,0.0,1.0,0.0,0.5135135135135134,0.4864864864864865,0.09615384615384613,0.9038461538461539,0.0
351,14.0,10.0,0.0,-0.07,-0.13,0.02,0.6,0.37,0.52,0.0,0.5,0.5,4.2973606186676346e-11,0.9999999999355396,2.1486803095723348e-11,1.0,0.0,0.0,0.14635,0.2631,0.4092,0.0,0.8833333333333332,0.11666666666666665,0.0,0.6486486486486486,0.35135135135135137,0.038461538461538464,0.9615384615384615,0.0
352,14.0,20.0,-0.4,0.1,-0.48,-0.37,0.44,0.31,0.52,0.0,0.5,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.1464,0.23585,0.4089,1.0,0.0,0.0,0.0,0.7419354838709679,0.25806451612903214,0.05769230769230774,0.9423076923076923,0.0
