"";"year";"country";"gini";"e0"
"356";2014;"ITA";32.4;85.1707434115195
"357";2015;"ITA";32.4;NA
"358";2016;"ITA";33.1;NA
"359";2017;"ITA";32.7;NA
"360";2018;"ITA";33.4;NA
"361";1995;"LTU";NA;74.9717677046139
"362";1996;"LTU";NA;75.7971792823189
"363";1997;"LTU";NA;76.5593365096398
"364";1998;"LTU";NA;76.5815702496345
"365";1999;"LTU";NA;76.9463731916359
"366";2000;"LTU";31;77.3738924219097
"367";2001;"LTU";31;77.4875602334146
"368";2002;"LTU";NA;77.4730944011112
"369";2003;"LTU";NA;77.722374637387
"370";2004;"LTU";NA;77.7365271327811
"371";2005;"LTU";36.3;77.4746344808896
"372";2006;"LTU";35;77.0618481100933
"373";2007;"LTU";33.8;77.1758832997447
"374";2008;"LTU";34.5;77.5245097255908
"375";2009;"LTU";35.9;78.5452652949237
"376";2010;"LTU";37;78.7571920822685
"377";2011;"LTU";33;79.0750264651208
"378";2012;"LTU";32;79.4141984463319
"379";2013;"LTU";34.6;79.3471964815317
"380";2014;"LTU";35;79.8551085011871
"381";2015;"LTU";37.9;79.6095684043412
"382";2016;"LTU";37;79.9743504854152
"383";2017;"LTU";37.6;80.3594309678627
"384";2018;"LTU";36.9;NA
"385";1995;"LUX";29;79.9269886134999
"386";1996;"LUX";28;79.5958452594672
"387";1997;"LUX";25;79.4240833367915
"388";1998;"LUX";26;80.1682687984831
"389";1999;"LUX";27;80.7300275102488
"390";2000;"LUX";26;80.8255299494177
"391";2001;"LUX";27;80.4671950073105
"392";2002;"LUX";NA;81.2879764193958
"393";2003;"LUX";27.6;80.7977669450348
"394";2004;"LUX";26.5;82.2363954881756
"395";2005;"LUX";26.5;82.1057779263466
"396";2006;"LUX";27.8;81.7291394059357
"397";2007;"LUX";27.4;81.9844910787917
"398";2008;"LUX";27.7;82.7591086492025
"399";2009;"LUX";29.2;82.9561032708746
"400";2010;"LUX";27.9;83.20022658675
"401";2011;"LUX";27.2;83.1914205023353
"402";2012;"LUX";28;83.4127030156353
"403";2013;"LUX";30.4;83.45839614192
"404";2014;"LUX";28.7;84.5001607876486
"405";2015;"LUX";28.5;84.2826826368871
"406";2016;"LUX";31;84.832724788349
"407";2017;"LUX";30.9;83.9763259256956
"408";2018;"LUX";33.2;NA
"409";1995;"LVA";NA;72.6596242821763
"410";1996;"LVA";NA;74.4135798955534
"411";1997;"LVA";NA;74.6857150361324
"412";1998;"LVA";NA;74.4431543923965
"413";1999;"LVA";NA;74.9596630506352
"414";2000;"LVA";34;75.7079777530009
"415";2001;"LVA";NA;75.4589734713563
"416";2002;"LVA";NA;75.8582347363113
"417";2003;"LVA";NA;75.7140574771959
"418";2004;"LVA";NA;76.0660299060698
"419";2005;"LVA";36.2;76.293803220427
"420";2006;"LVA";38.9;76.0919006605209
"421";2007;"LVA";35.4;76.2111897887402
"422";2008;"LVA";37.5;77.4061918597109
"423";2009;"LVA";37.5;77.5812473534305
"424";2010;"LVA";35.9;77.8495154108317
"425";2011;"LVA";35.1;78.5050930923632
"426";2012;"LVA";35.7;78.6813445248923
"427";2013;"LVA";35.2;78.7370811545374
"428";2014;"LVA";35.5;79.2361816490451
"429";2015;"LVA";35.4;79.3253016823435
"430";2016;"LVA";34.5;79.3995764649353
"431";2017;"LVA";34.5;79.5389310552956
"432";2018;"LVA";35.6;NA
"433";1995;"NLD";29;80.35753693867
"434";1996;"NLD";29;80.3250770380591
"435";1997;"NLD";26;80.5321226237651
"436";1998;"NLD";25;80.6724082030119
"437";1999;"NLD";26;80.4369386314689
"438";2000;"NLD";29;80.5681257255369
"439";2001;"NLD";27;80.7075690820419
"440";2002;"NLD";27;80.6826407921084
"441";2003;"NLD";NA;80.929346582192
"442";2004;"NLD";NA;81.4357215364118
"443";2005;"NLD";26.9;81.5981223136178
"444";2006;"NLD";26.4;81.8859799562877
"445";2007;"NLD";27.6;82.3075517044334
"446";2008;"NLD";27.6;82.2746127873135
"447";2009;"NLD";27.2;82.6449544402519
"448";2010;"NLD";25.5;82.7239762358615
"449";2011;"NLD";25.8;82.8566567358498
"450";2012;"NLD";25.4;82.8265052242304
"451";2013;"NLD";25.1;83.041646124312
"452";2014;"NLD";26.2;83.2934533102342
"453";2015;"NLD";26.7;83.1309242216915
"454";2016;"NLD";26.9;83.1303735043196
"455";2017;"NLD";27.1;NA
"456";2018;"NLD";27.4;NA
"457";1995;"POL";NA;76.3945391400888
"458";1996;"POL";NA;76.5646160055043
"459";1997;"POL";NA;76.9565017743522
"460";1998;"POL";NA;77.2940127592222
"461";1999;"POL";NA;77.4324711882533
"462";2000;"POL";30;77.9389913750196
"463";2001;"POL";30;78.3640300663718
"464";2002;"POL";NA;78.7745330671598
"465";2003;"POL";NA;78.8952082570331
"466";2004;"POL";NA;79.2349075992523
"467";2005;"POL";35.6;79.3439032422171
"468";2006;"POL";33.3;79.590825724645
"469";2007;"POL";32.2;79.6813586487145
"470";2008;"POL";32;79.8717961875954
"471";2009;"POL";31.4;79.9639225320837
"472";2010;"POL";31.1;80.4646614576317
"473";2011;"POL";31.1;80.762831676669
"474";2012;"POL";30.9;80.7845193465328
"475";2013;"POL";30.7;80.9283628726223
"476";2014;"POL";30.8;81.4203866661864
"477";2015;"POL";30.6;81.3177905523236
"478";2016;"POL";29.8;81.7355711544619
"479";2017;"POL";29.2;NA
"480";2018;"POL";27.8;NA
"481";1995;"PRT";37;79.2283152370255
"482";1996;"PRT";36;79.2395435735434
"483";1997;"PRT";36;79.5215878520803
"484";1998;"PRT";37;79.7542822770752
"485";1999;"PRT";36;79.8828392415966
"486";2000;"PRT";36;80.345951441783
"487";2001;"PRT";37;80.6666433334105
"488";2002;"PRT";NA;80.8048327488872
"489";2003;"PRT";NA;80.823395278805
"490";2004;"PRT";37.8;81.7606579293644
"491";2005;"PRT";38.1;81.5686542507488
"492";2006;"PRT";37.7;82.4587151906161
"493";2007;"PRT";36.8;82.4439519482555
"494";2008;"PRT";35.8;82.6425087295685
"495";2009;"PRT";35.4;82.7787837798707
"496";2010;"PRT";33.7;83.0375759169931
"497";2011;"PRT";34.2;83.5220697968441
"498";2012;"PRT";34.5;83.3941066409629
"499";2013;"PRT";34.2;83.7907699403987
"500";2014;"PRT";34.5;84.1502968830033
"501";2015;"PRT";34;84.0502169213497
"502";2016;"PRT";33.9;NA
"503";2017;"PRT";33.5;NA
"504";2018;"PRT";32.1;NA
"505";1995;"SVK";NA;76.2870883166041
"506";1996;"SVK";NA;76.7790021530921
"507";1997;"SVK";NA;76.6684128894192
"508";1998;"SVK";NA;76.7369594046684
"509";1999;"SVK";NA;77.1041061654324
"510";2000;"SVK";NA;77.3007757567217
"511";2001;"SVK";NA;77.6633300997794
"512";2002;"SVK";NA;77.6905155157491
"513";2003;"SVK";NA;77.7957187261789
"514";2004;"SVK";NA;78.0291820417416
"515";2005;"SVK";26.2;78.093023209174
"516";2006;"SVK";28.1;78.386766138827
"517";2007;"SVK";24.5;78.3646280902317
"518";2008;"SVK";23.7;78.8660589086779
"519";2009;"SVK";24.8;78.9691436807398
"520";2010;"SVK";25.9;79.1652205894884
"521";2011;"SVK";25.7;79.6585166507616
"522";2012;"SVK";25.3;79.7546676178728
"523";2013;"SVK";24.2;79.979129753818
"524";2014;"SVK";26.1;80.3437905814268
"525";2015;"SVK";23.7;80.0954704875778
"526";2016;"SVK";24.3;80.5441467975499
"527";2017;"SVK";23.2;80.574306169276
"528";2018;"SVK";20.9;NA
"529";1995;"SVN";NA;78.3307842963794
"530";1996;"SVN";NA;78.8477400936063
"531";1997;"SVN";NA;78.9869126662633
